Sofascore_Name,id,minutes,SoT,Shots,Tackles,fouls_commited,fouls_received,Goals,xG,Assists,xA,round,Match
Mark Flekken,171919,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,Brentford - Fulham
Kristoffer Ajer,576384,45.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.00712357,36,Brentford - Fulham
Nathan Collins,958916,90.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.00566769,36,Brentford - Fulham
Ethan Pinnock,855864,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.00804179,36,Brentford - Fulham
Sergio Reguilón,858195,90.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0407815,36,Brentford - Fulham
Mikkel Damsgaard,907072,82.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0367547,36,Brentford - Fulham
Christian Nørgaard,135256,82.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0405,0.0,0.0318419,36,Brentford - Fulham
Vitaly Janelt,814873,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.103813,36,Brentford - Fulham
Bryan Mbeumo,927083,90.0,0.0,1.0,0.0,0.0,0.0,0.0,0.079,0.0,0.0226552,36,Brentford - Fulham
Ivan Toney,290927,90.0,1.0,2.0,1.0,0.0,1.0,0.0,0.046,0.0,0.0214465,36,Brentford - Fulham
Keane Lewis-Potter,972421,66.0,2.0,2.0,0.0,0.0,2.0,0.0,0.4515,0.0,0.0132648,36,Brentford - Fulham
Mads Roerslev,826057,45.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0773228,36,Brentford - Fulham
Yehor Yarmoliuk,1031258,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,36,Brentford - Fulham
Yoane Wissa,805123,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0518408,36,Brentford - Fulham
Frank Onyeka,885864,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0361506,36,Brentford - Fulham
Kevin Schade,1006387,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0144,0.0,0.0,36,Brentford - Fulham
Hákon Rafn Valdimarsson,1005959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,Brentford - Fulham
Zanka,26404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,Brentford - Fulham
Saman Ghoddos,548050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,Brentford - Fulham
Neal Maupay,268903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,Brentford - Fulham
Bernd Leno,103335,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,Brentford - Fulham
Timothy Castagne,329417,90.0,0.0,1.0,2.0,1.0,0.0,0.0,0.1003,0.0,0.00813867,36,Brentford - Fulham
Issa Diop,825719,90.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.00613871,36,Brentford - Fulham
Calvin Bassey,861972,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0153137,36,Brentford - Fulham
Antonee Robinson,803174,90.0,0.0,2.0,3.0,0.0,0.0,0.0,0.1,0.0,0.0133518,36,Brentford - Fulham
João Palhinha,364612,90.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0858,0.0,0.0325033,36,Brentford - Fulham
Saša Lukić,371222,75.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0509,0.0,0.0130874,36,Brentford - Fulham
Alex Iwobi,352770,89.0,1.0,3.0,1.0,1.0,0.0,0.0,0.2057,0.0,0.302541,36,Brentford - Fulham
Andreas Pereira,285949,75.0,0.0,4.0,1.0,0.0,0.0,0.0,0.1819,0.0,0.0642974,36,Brentford - Fulham
Willian,31417,64.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0123946,36,Brentford - Fulham
Rodrigo Muniz,1015256,64.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1228,0.0,0.0148291,36,Brentford - Fulham
Adama Traoré,286165,26.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0294,0.0,0.00574957,36,Brentford - Fulham
Raúl Jiménez,192442,26.0,0.0,1.0,2.0,1.0,1.0,0.0,0.3995,0.0,0.0,36,Brentford - Fulham
Tom Cairney,82566,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0415161,36,Brentford - Fulham
Bobby Decordova-Reid,151499,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179952,36,Brentford - Fulham
Harry Wilson,355528,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00953907,36,Brentford - Fulham
Marek Rodák,358694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,Brentford - Fulham
Kenny Tete,190877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,Brentford - Fulham
Tim Ream,118179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,Brentford - Fulham
Armando Broja,996985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,Brentford - Fulham
Jordan Pickford,138530,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Séamus Coleman,76632,90.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0235839,37,Everton - Sheffield United
James Tarkowski,145188,90.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.205975,37,Everton - Sheffield United
Jarrad Branthwaite,979563,90.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Ashley Young,10589,90.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.00979799,37,Everton - Sheffield United
James Garner,927361,90.0,0.0,4.0,0.0,0.0,2.0,0.0,0.2701,0.0,0.195183,37,Everton - Sheffield United
Idrissa Gueye,106337,90.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0411,0.0,0.115551,37,Everton - Sheffield United
Amadou Onana,923973,90.0,0.0,2.0,6.0,2.0,3.0,0.0,0.1329,0.0,0.0543837,37,Everton - Sheffield United
Dwight McNeil,935543,69.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.470868,37,Everton - Sheffield United
Abdoulaye Doucouré,96535,69.0,3.0,4.0,0.0,0.0,0.0,1.0,1.6856,0.0,0.0477824,37,Everton - Sheffield United
Dominic Calvert-Lewin,372344,79.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0667,1.0,0.747394,37,Everton - Sheffield United
André Gomes,235460,20.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Lewis Dobbin,998832,21.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Youssef Chermiti,1145627,11.0,1.0,2.0,0.0,1.0,0.0,0.0,0.1503,0.0,0.136356,37,Everton - Sheffield United
Lewis Warrington,1113799,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
João Virgínia,930666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Michael Keane,110846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Ben Godfrey,754698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Beto,987489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
Arnaut Danjuma,827064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,Everton - Sheffield United
