Unnamed: 0,Team,Opponent,Venue,ForAgainst,Red_Cards,Corner_Kicks,Fouls_Commited,Yellow_Cards,Shots,Goal_Kicks,Throw_Ins,Tackles,First_Half_Yellow_Cards,SoT,Offsides,Round,Season
0,PAS Lamia 1964,Panathinaikos,Home,For,0,3,19,3,13,7,18,14,0,5,4,Gameweek 10,2024
1,PAS Lamia 1964,Panathinaikos,Home,Against,1,3,15,6,10,6,20,20,1,6,1,Gameweek 10,2024
2,Panathinaikos,PAS Lamia 1964,Away,For,1,3,15,6,10,6,20,20,1,6,1,Gameweek 10,2024
3,Panathinaikos,PAS Lamia 1964,Away,Against,0,3,19,3,13,7,18,14,0,5,4,Gameweek 10,2024
4,A.E. Kifisia FC,AEK Athens,Home,For,0,5,10,2,6,12,26,18,1,2,1,Gameweek 10,2024
5,A.E. Kifisia FC,AEK Athens,Home,Against,0,8,13,2,18,7,30,12,1,6,3,Gameweek 10,2024
6,AEK Athens,A.E. Kifisia FC,Away,For,0,8,13,2,18,7,30,12,1,6,3,Gameweek 10,2024
7,AEK Athens,A.E. Kifisia FC,Away,Against,0,5,10,2,6,12,26,18,1,2,1,Gameweek 10,2024
8,Panetolikos,Asteras Tripolis,Home,For,0,8,23,6,21,2,17,8,3,4,1,Gameweek 10,2024
9,Panetolikos,Asteras Tripolis,Home,Against,1,3,12,5,6,9,19,8,2,3,0,Gameweek 10,2024
10,Asteras Tripolis,Panetolikos,Away,For,1,3,12,5,6,9,19,8,2,3,0,Gameweek 10,2024
11,Asteras Tripolis,Panetolikos,Away,Against,0,8,23,6,21,2,17,8,3,4,1,Gameweek 10,2024
12,PAS Giannina,Volos NFC,Home,For,0,4,23,5,12,14,18,18,2,3,3,Gameweek 10,2024
13,PAS Giannina,Volos NFC,Home,Against,0,7,14,2,13,8,18,19,1,3,1,Gameweek 10,2024
14,Volos NFC,PAS Giannina,Away,For,0,7,14,2,13,8,18,19,1,3,1,Gameweek 10,2024
15,Volos NFC,PAS Giannina,Away,Against,0,4,23,5,12,14,18,18,2,3,3,Gameweek 10,2024
16,Olympiacos FC,PAOK,Home,For,0,7,16,3,13,6,29,15,1,6,8,Gameweek 10,2024
17,Olympiacos FC,PAOK,Home,Against,0,2,10,2,11,7,16,17,0,5,2,Gameweek 10,2024
18,PAOK,Olympiacos FC,Away,For,0,2,10,2,11,7,16,17,0,5,2,Gameweek 10,2024
19,PAOK,Olympiacos FC,Away,Against,0,7,16,3,13,6,29,15,1,6,8,Gameweek 10,2024
20,Aris Thessaloniki,Atromitos Athens,Home,For,0,9,15,3,23,5,23,8,0,5,3,Gameweek 10,2024
21,Aris Thessaloniki,Atromitos Athens,Home,Against,0,2,18,4,7,10,23,16,2,5,1,Gameweek 10,2024
22,Atromitos Athens,Aris Thessaloniki,Away,For,0,2,18,4,7,10,23,16,2,5,1,Gameweek 10,2024
23,Atromitos Athens,Aris Thessaloniki,Away,Against,0,9,15,3,23,5,23,8,0,5,3,Gameweek 10,2024
24,Panserraikos,OFI Crete,Home,For,0,4,18,3,10,8,22,13,1,5,1,Gameweek 10,2024
25,Panserraikos,OFI Crete,Home,Against,0,4,14,4,11,6,15,13,2,3,2,Gameweek 10,2024
26,OFI Crete,Panserraikos,Away,For,0,4,14,4,11,6,15,13,2,3,2,Gameweek 10,2024
27,OFI Crete,Panserraikos,Away,Against,0,4,18,3,10,8,22,13,1,5,1,Gameweek 10,2024
0,OFI Crete,PAS Giannina,Home,For,0,1,16,2,12,8,12,13,0,4,2,Gameweek 11,2024
1,OFI Crete,PAS Giannina,Home,Against,0,4,16,2,16,9,16,18,1,6,2,Gameweek 11,2024
2,PAS Giannina,OFI Crete,Away,For,0,4,16,2,16,9,16,18,1,6,2,Gameweek 11,2024
3,PAS Giannina,OFI Crete,Away,Against,0,1,16,2,12,8,12,13,0,4,2,Gameweek 11,2024
4,Atromitos Athens,Panserraikos,Home,For,0,5,21,4,10,5,30,6,0,3,2,Gameweek 11,2024
5,Atromitos Athens,Panserraikos,Home,Against,0,1,21,4,7,5,19,10,0,2,1,Gameweek 11,2024
6,Panserraikos,Atromitos Athens,Away,For,0,1,21,4,7,5,19,10,0,2,1,Gameweek 11,2024
7,Panserraikos,Atromitos Athens,Away,Against,0,5,21,4,10,5,30,6,0,3,2,Gameweek 11,2024
8,Volos NFC,Aris Thessaloniki,Home,For,0,5,11,4,13,6,21,13,3,4,3,Gameweek 11,2024
9,Volos NFC,Aris Thessaloniki,Home,Against,0,7,19,2,7,6,26,10,1,3,1,Gameweek 11,2024
10,Aris Thessaloniki,Volos NFC,Away,For,0,7,19,2,7,6,26,10,1,3,1,Gameweek 11,2024
11,Aris Thessaloniki,Volos NFC,Away,Against,0,5,11,4,13,6,21,13,3,4,3,Gameweek 11,2024
12,PAOK,Panetolikos,Home,For,0,4,7,2,11,5,22,9,1,2,3,Gameweek 11,2024
13,PAOK,Panetolikos,Home,Against,0,1,15,3,7,8,14,14,2,2,1,Gameweek 11,2024
14,Panetolikos,PAOK,Away,For,0,1,15,3,7,8,14,14,2,2,1,Gameweek 11,2024
15,Panetolikos,PAOK,Away,Against,0,4,7,2,11,5,22,9,1,2,3,Gameweek 11,2024
16,AEK Athens,PAS Lamia 1964,Home,For,0,4,15,3,12,6,20,21,0,5,0,Gameweek 11,2024
17,AEK Athens,PAS Lamia 1964,Home,Against,0,4,15,3,4,7,16,14,1,0,1,Gameweek 11,2024
18,PAS Lamia 1964,AEK Athens,Away,For,0,4,15,3,4,7,16,14,1,0,1,Gameweek 11,2024
19,PAS Lamia 1964,AEK Athens,Away,Against,0,4,15,3,12,6,20,21,0,5,0,Gameweek 11,2024
20,Asteras Tripolis,Olympiacos FC,Home,For,0,2,7,3,6,10,22,12,0,2,5,Gameweek 11,2024
21,Asteras Tripolis,Olympiacos FC,Home,Against,0,5,16,0,10,6,18,16,0,3,4,Gameweek 11,2024
22,Olympiacos FC,Asteras Tripolis,Away,For,0,5,16,0,10,6,18,16,0,3,4,Gameweek 11,2024
23,Olympiacos FC,Asteras Tripolis,Away,Against,0,2,7,3,6,10,22,12,0,2,5,Gameweek 11,2024
24,A.E. Kifisia FC,Panathinaikos,Home,For,0,0,13,1,3,11,18,10,0,1,3,Gameweek 11,2024
25,A.E. Kifisia FC,Panathinaikos,Home,Against,0,8,17,3,15,3,34,16,1,6,3,Gameweek 11,2024
26,Panathinaikos,A.E. Kifisia FC,Away,For,0,8,17,3,15,3,34,16,1,6,3,Gameweek 11,2024
27,Panathinaikos,A.E. Kifisia FC,Away,Against,0,0,13,1,3,11,18,10,0,1,3,Gameweek 11,2024
0,OFI Crete,Volos NFC,Home,For,0,6,10,3,18,7,32,17,2,5,8,Gameweek 12,2024
1,OFI Crete,Volos NFC,Home,Against,1,2,17,5,11,9,17,16,3,3,3,Gameweek 12,2024
2,Volos NFC,OFI Crete,Away,For,1,2,17,5,11,9,17,16,3,3,3,Gameweek 12,2024
3,Volos NFC,OFI Crete,Away,Against,0,6,10,3,18,7,32,17,2,5,8,Gameweek 12,2024
4,Olympiacos FC,Panetolikos,Home,For,0,3,18,3,13,6,23,16,1,4,2,Gameweek 12,2024
5,Olympiacos FC,Panetolikos,Home,Against,0,2,15,1,10,6,16,10,0,4,0,Gameweek 12,2024
6,Panetolikos,Olympiacos FC,Away,For,0,2,15,1,10,6,16,10,0,4,0,Gameweek 12,2024
7,Panetolikos,Olympiacos FC,Away,Against,0,3,18,3,13,6,23,16,1,4,2,Gameweek 12,2024
8,PAOK,Panserraikos,Home,For,0,8,6,0,13,6,22,8,0,8,0,Gameweek 12,2024
9,PAOK,Panserraikos,Home,Against,0,3,9,0,8,4,14,7,0,0,0,Gameweek 12,2024
10,Panserraikos,PAOK,Away,For,0,3,9,0,8,4,14,7,0,0,0,Gameweek 12,2024
11,Panserraikos,PAOK,Away,Against,0,8,6,0,13,6,22,8,0,8,0,Gameweek 12,2024
12,A.E. Kifisia FC,Asteras Tripolis,Home,For,0,7,16,2,19,4,28,18,1,5,4,Gameweek 12,2024
13,A.E. Kifisia FC,Asteras Tripolis,Home,Against,0,2,15,2,7,11,20,20,1,4,2,Gameweek 12,2024
14,Asteras Tripolis,A.E. Kifisia FC,Away,For,0,2,15,2,7,11,20,20,1,4,2,Gameweek 12,2024
15,Asteras Tripolis,A.E. Kifisia FC,Away,Against,0,7,16,2,19,4,28,18,1,5,4,Gameweek 12,2024
16,PAS Giannina,AEK Athens,Home,For,0,3,12,3,8,13,23,18,0,3,3,Gameweek 12,2024
17,PAS Giannina,AEK Athens,Home,Against,0,6,13,1,22,5,31,13,0,7,1,Gameweek 12,2024
18,AEK Athens,PAS Giannina,Away,For,0,6,13,1,22,5,31,13,0,7,1,Gameweek 12,2024
19,AEK Athens,PAS Giannina,Away,Against,0,3,12,3,8,13,23,18,0,3,3,Gameweek 12,2024
20,PAS Lamia 1964,Atromitos Athens,Home,For,0,3,14,4,13,6,23,13,1,7,3,Gameweek 12,2024
21,PAS Lamia 1964,Atromitos Athens,Home,Against,0,8,17,3,15,8,17,13,1,6,0,Gameweek 12,2024
22,Atromitos Athens,PAS Lamia 1964,Away,For,0,8,17,3,15,8,17,13,1,6,0,Gameweek 12,2024
23,Atromitos Athens,PAS Lamia 1964,Away,Against,0,3,14,4,13,6,23,13,1,7,3,Gameweek 12,2024
24,Aris Thessaloniki,Panathinaikos,Home,For,0,1,18,3,10,6,8,32,0,5,2,Gameweek 12,2024
25,Aris Thessaloniki,Panathinaikos,Home,Against,0,9,11,1,15,4,25,20,0,8,0,Gameweek 12,2024
26,Panathinaikos,Aris Thessaloniki,Away,For,0,9,11,1,15,4,25,20,0,8,0,Gameweek 12,2024
27,Panathinaikos,Aris Thessaloniki,Away,Against,0,1,18,3,10,6,8,32,0,5,2,Gameweek 12,2024
0,Panetolikos,A.E. Kifisia FC,Home,For,0,5,18,2,16,3,14,18,1,9,1,Gameweek 13,2024
1,Panetolikos,A.E. Kifisia FC,Home,Against,0,6,17,5,7,8,24,16,2,3,3,Gameweek 13,2024
2,A.E. Kifisia FC,Panetolikos,Away,For,0,6,17,5,7,8,24,16,2,3,3,Gameweek 13,2024
3,A.E. Kifisia FC,Panetolikos,Away,Against,0,5,18,2,16,3,14,18,1,9,1,Gameweek 13,2024
4,Asteras Tripolis,Panserraikos,Home,For,0,5,17,4,8,18,10,9,1,2,1,Gameweek 13,2024
5,Asteras Tripolis,Panserraikos,Home,Against,0,3,12,4,18,9,18,9,1,4,0,Gameweek 13,2024
6,Panserraikos,Asteras Tripolis,Away,For,0,3,12,4,18,9,18,9,1,4,0,Gameweek 13,2024
7,Panserraikos,Asteras Tripolis,Away,Against,0,5,17,4,8,18,10,9,1,2,1,Gameweek 13,2024
8,Volos NFC,Olympiacos FC,Home,For,1,2,17,7,10,9,16,7,3,4,1,Gameweek 13,2024
9,Volos NFC,Olympiacos FC,Home,Against,1,6,10,3,11,4,27,15,1,3,2,Gameweek 13,2024
10,Olympiacos FC,Volos NFC,Away,For,1,6,10,3,11,4,27,15,1,3,2,Gameweek 13,2024
11,Olympiacos FC,Volos NFC,Away,Against,1,2,17,7,10,9,16,7,3,4,1,Gameweek 13,2024
12,Atromitos Athens,PAS Giannina,Home,For,0,2,16,4,14,4,37,9,0,5,2,Gameweek 13,2024
13,Atromitos Athens,PAS Giannina,Home,Against,0,2,7,2,10,8,21,19,1,3,3,Gameweek 13,2024
14,PAS Giannina,Atromitos Athens,Away,For,0,2,7,2,10,8,21,19,1,3,3,Gameweek 13,2024
15,PAS Giannina,Atromitos Athens,Away,Against,0,2,16,4,14,4,37,9,0,5,2,Gameweek 13,2024
16,Panathinaikos,OFI Crete,Home,For,0,2,19,1,17,2,17,15,0,7,1,Gameweek 13,2024
17,Panathinaikos,OFI Crete,Home,Against,0,3,23,6,6,7,14,16,2,3,3,Gameweek 13,2024
18,OFI Crete,Panathinaikos,Away,For,0,3,23,6,6,7,14,16,2,3,3,Gameweek 13,2024
19,OFI Crete,Panathinaikos,Away,Against,0,2,19,1,17,2,17,15,0,7,1,Gameweek 13,2024
20,PAOK,PAS Lamia 1964,Home,For,0,5,7,0,17,6,22,17,0,9,2,Gameweek 13,2024
21,PAOK,PAS Lamia 1964,Home,Against,0,5,9,1,13,8,17,20,0,6,2,Gameweek 13,2024
22,PAS Lamia 1964,PAOK,Away,For,0,5,9,1,13,8,17,20,0,6,2,Gameweek 13,2024
23,PAS Lamia 1964,PAOK,Away,Against,0,5,7,0,17,6,22,17,0,9,2,Gameweek 13,2024
24,AEK Athens,Aris Thessaloniki,Home,For,0,9,15,1,17,8,19,9,1,6,4,Gameweek 13,2024
25,AEK Athens,Aris Thessaloniki,Home,Against,0,2,9,1,10,9,21,12,1,1,2,Gameweek 13,2024
26,Aris Thessaloniki,AEK Athens,Away,For,0,2,9,1,10,9,21,12,1,1,2,Gameweek 13,2024
27,Aris Thessaloniki,AEK Athens,Away,Against,0,9,15,1,17,8,19,9,1,6,4,Gameweek 13,2024
0,A.E. Kifisia FC,PAS Giannina,Home,For,0,3,12,3,10,8,15,16,2,8,1,Gameweek 14,2024
1,A.E. Kifisia FC,PAS Giannina,Home,Against,1,7,18,5,10,3,24,8,2,5,1,Gameweek 14,2024
2,PAS Giannina,A.E. Kifisia FC,Away,For,1,7,18,5,10,3,24,8,2,5,1,Gameweek 14,2024
3,PAS Giannina,A.E. Kifisia FC,Away,Against,0,3,12,3,10,8,15,16,2,8,1,Gameweek 14,2024
4,Aris Thessaloniki,OFI Crete,Home,For,0,6,14,1,16,6,19,8,0,6,1,Gameweek 14,2024
5,Aris Thessaloniki,OFI Crete,Home,Against,0,5,18,1,6,7,18,12,0,0,0,Gameweek 14,2024
6,OFI Crete,Aris Thessaloniki,Away,For,0,5,18,1,6,7,18,12,0,0,0,Gameweek 14,2024
7,OFI Crete,Aris Thessaloniki,Away,Against,0,6,14,1,16,6,19,8,0,6,1,Gameweek 14,2024
8,Asteras Tripolis,PAOK,Home,For,0,7,16,2,11,9,13,11,1,4,1,Gameweek 14,2024
9,Asteras Tripolis,PAOK,Home,Against,0,4,17,1,13,7,11,6,0,7,4,Gameweek 14,2024
10,PAOK,Asteras Tripolis,Away,For,0,4,17,1,13,7,11,6,0,7,4,Gameweek 14,2024
11,PAOK,Asteras Tripolis,Away,Against,0,7,16,2,11,9,13,11,1,4,1,Gameweek 14,2024
12,PAS Lamia 1964,Volos NFC,Home,For,0,6,12,3,11,8,38,7,1,3,0,Gameweek 14,2024
13,PAS Lamia 1964,Volos NFC,Home,Against,0,2,25,3,9,5,20,20,2,3,1,Gameweek 14,2024
14,Volos NFC,PAS Lamia 1964,Away,For,0,2,25,3,9,5,20,20,2,3,1,Gameweek 14,2024
15,Volos NFC,PAS Lamia 1964,Away,Against,0,6,12,3,11,8,38,7,1,3,0,Gameweek 14,2024
16,Atromitos Athens,Panathinaikos,Home,For,0,1,15,3,10,6,15,15,2,4,0,Gameweek 14,2024
17,Atromitos Athens,Panathinaikos,Home,Against,0,7,16,3,12,2,21,9,0,5,1,Gameweek 14,2024
18,Panathinaikos,Atromitos Athens,Away,For,0,7,16,3,12,2,21,9,0,5,1,Gameweek 14,2024
19,Panathinaikos,Atromitos Athens,Away,Against,0,1,15,3,10,6,15,15,2,4,0,Gameweek 14,2024
20,Panserraikos,Olympiacos FC,Home,For,0,3,8,1,4,10,16,14,0,2,1,Gameweek 14,2024
21,Panserraikos,Olympiacos FC,Home,Against,0,5,16,4,17,3,19,18,1,5,3,Gameweek 14,2024
22,Olympiacos FC,Panserraikos,Away,For,0,5,16,4,17,3,19,18,1,5,3,Gameweek 14,2024
23,Olympiacos FC,Panserraikos,Away,Against,0,3,8,1,4,10,16,14,0,2,1,Gameweek 14,2024
24,Panetolikos,AEK Athens,Home,For,0,2,17,4,6,12,15,17,1,2,3,Gameweek 14,2024
25,Panetolikos,AEK Athens,Home,Against,0,9,11,1,17,3,21,15,0,7,1,Gameweek 14,2024
26,AEK Athens,Panetolikos,Away,For,0,9,11,1,17,3,21,15,0,7,1,Gameweek 14,2024
27,AEK Athens,Panetolikos,Away,Against,0,2,17,4,6,12,15,17,1,2,3,Gameweek 14,2024
0,Aris Thessaloniki,PAS Lamia 1964,Home,For,0,10,18,1,24,6,20,27,0,12,0,Gameweek 15,2024
1,Aris Thessaloniki,PAS Lamia 1964,Home,Against,0,3,15,4,10,10,17,21,2,3,0,Gameweek 15,2024
2,PAS Lamia 1964,Aris Thessaloniki,Away,For,0,3,15,4,10,10,17,21,2,3,0,Gameweek 15,2024
3,PAS Lamia 1964,Aris Thessaloniki,Away,Against,0,10,18,1,24,6,20,27,0,12,0,Gameweek 15,2024
4,Volos NFC,Panathinaikos,Home,For,0,3,14,1,3,8,14,19,0,0,1,Gameweek 15,2024
5,Volos NFC,Panathinaikos,Home,Against,0,4,16,2,12,7,23,13,2,5,3,Gameweek 15,2024
6,Panathinaikos,Volos NFC,Away,For,0,4,16,2,12,7,23,13,2,5,3,Gameweek 15,2024
7,Panathinaikos,Volos NFC,Away,Against,0,3,14,1,3,8,14,19,0,0,1,Gameweek 15,2024
8,PAS Giannina,Panetolikos,Home,For,0,7,15,1,11,2,20,18,0,3,2,Gameweek 15,2024
9,PAS Giannina,Panetolikos,Home,Against,1,6,18,4,3,10,28,21,0,2,0,Gameweek 15,2024
10,Panetolikos,PAS Giannina,Away,For,1,6,18,4,3,10,28,21,0,2,0,Gameweek 15,2024
11,Panetolikos,PAS Giannina,Away,Against,0,7,15,1,11,2,20,18,0,3,2,Gameweek 15,2024
12,Panserraikos,AEK Athens,Home,For,1,5,16,5,10,12,17,15,3,5,4,Gameweek 15,2024
13,Panserraikos,AEK Athens,Home,Against,0,3,14,4,16,2,17,15,1,5,0,Gameweek 15,2024
14,AEK Athens,Panserraikos,Away,For,0,3,14,4,16,2,17,15,1,5,0,Gameweek 15,2024
15,AEK Athens,Panserraikos,Away,Against,1,5,16,5,10,12,17,15,3,5,4,Gameweek 15,2024
16,OFI Crete,Asteras Tripolis,Home,For,0,9,17,3,19,8,23,12,1,5,8,Gameweek 15,2024
