Team,Opponent,Venue,ForAgainst,Red_Cards,Corner_Kicks,Fouls_Commited,Yellow_Cards,Shots,Goal_Kicks,Throw_Ins,Tackles,First_Half_Yellow_Cards,SoT,Offsides,Round,Season,Column1,Unnamed: 0
PAS Lamia 1964,Panathinaikos,Home,For,0.0,3.0,19.0,3.0,13.0,7.0,18.0,14.0,0.0,5.0,4.0,Gameweek 10,2024,,
PAS Lamia 1964,Panathinaikos,Home,Against,1.0,3.0,15.0,6.0,10.0,6.0,20.0,20.0,1.0,6.0,1.0,Gameweek 10,2024,,
Panathinaikos,PAS Lamia 1964,Away,For,1.0,3.0,15.0,6.0,10.0,6.0,20.0,20.0,1.0,6.0,1.0,Gameweek 10,2024,,
Panathinaikos,PAS Lamia 1964,Away,Against,0.0,3.0,19.0,3.0,13.0,7.0,18.0,14.0,0.0,5.0,4.0,Gameweek 10,2024,,
A.E. Kifisia FC,AEK Athens,Home,For,0.0,5.0,10.0,2.0,6.0,12.0,26.0,18.0,1.0,2.0,1.0,Gameweek 10,2024,,
A.E. Kifisia FC,AEK Athens,Home,Against,0.0,8.0,13.0,2.0,18.0,7.0,30.0,12.0,1.0,6.0,3.0,Gameweek 10,2024,,
AEK Athens,A.E. Kifisia FC,Away,For,0.0,8.0,13.0,2.0,18.0,7.0,30.0,12.0,1.0,6.0,3.0,Gameweek 10,2024,,
AEK Athens,A.E. Kifisia FC,Away,Against,0.0,5.0,10.0,2.0,6.0,12.0,26.0,18.0,1.0,2.0,1.0,Gameweek 10,2024,,
Panetolikos,Asteras Tripolis,Home,For,0.0,8.0,23.0,6.0,21.0,2.0,17.0,8.0,3.0,4.0,1.0,Gameweek 10,2024,,
Panetolikos,Asteras Tripolis,Home,Against,1.0,3.0,12.0,5.0,6.0,9.0,19.0,8.0,2.0,3.0,0.0,Gameweek 10,2024,,
Asteras Tripolis,Panetolikos,Away,For,1.0,3.0,12.0,5.0,6.0,9.0,19.0,8.0,2.0,3.0,0.0,Gameweek 10,2024,,
Asteras Tripolis,Panetolikos,Away,Against,0.0,8.0,23.0,6.0,21.0,2.0,17.0,8.0,3.0,4.0,1.0,Gameweek 10,2024,,
PAS Giannina,NPS Volos,Home,For,0.0,4.0,23.0,5.0,12.0,14.0,18.0,18.0,2.0,3.0,3.0,Gameweek 10,2024,,
PAS Giannina,NPS Volos,Home,Against,0.0,7.0,14.0,2.0,13.0,8.0,18.0,19.0,1.0,3.0,1.0,Gameweek 10,2024,,
NPS Volos,PAS Giannina,Away,For,0.0,7.0,14.0,2.0,13.0,8.0,18.0,19.0,1.0,3.0,1.0,Gameweek 10,2024,,
NPS Volos,PAS Giannina,Away,Against,0.0,4.0,23.0,5.0,12.0,14.0,18.0,18.0,2.0,3.0,3.0,Gameweek 10,2024,,
Olympiacos FC,PAOK,Home,For,0.0,7.0,16.0,3.0,13.0,6.0,29.0,15.0,1.0,6.0,8.0,Gameweek 10,2024,,
Olympiacos FC,PAOK,Home,Against,0.0,2.0,10.0,2.0,11.0,7.0,16.0,17.0,0.0,5.0,2.0,Gameweek 10,2024,,
PAOK,Olympiacos FC,Away,For,0.0,2.0,10.0,2.0,11.0,7.0,16.0,17.0,0.0,5.0,2.0,Gameweek 10,2024,,
PAOK,Olympiacos FC,Away,Against,0.0,7.0,16.0,3.0,13.0,6.0,29.0,15.0,1.0,6.0,8.0,Gameweek 10,2024,,
Aris Thessaloniki,Atromitos Athens,Home,For,0.0,9.0,15.0,3.0,23.0,5.0,23.0,8.0,0.0,5.0,3.0,Gameweek 10,2024,,
Aris Thessaloniki,Atromitos Athens,Home,Against,0.0,2.0,18.0,4.0,7.0,10.0,23.0,16.0,2.0,5.0,1.0,Gameweek 10,2024,,
Atromitos Athens,Aris Thessaloniki,Away,For,0.0,2.0,18.0,4.0,7.0,10.0,23.0,16.0,2.0,5.0,1.0,Gameweek 10,2024,,
Atromitos Athens,Aris Thessaloniki,Away,Against,0.0,9.0,15.0,3.0,23.0,5.0,23.0,8.0,0.0,5.0,3.0,Gameweek 10,2024,,
Panserraikos,OFI Crete,Home,For,0.0,4.0,18.0,3.0,10.0,8.0,22.0,13.0,1.0,5.0,1.0,Gameweek 10,2024,,
Panserraikos,OFI Crete,Home,Against,0.0,4.0,14.0,4.0,11.0,6.0,15.0,13.0,2.0,3.0,2.0,Gameweek 10,2024,,
